Program,ML_course,IR_course,Stats_course,Databases_course,Gender,Chocolate,Age,Neighbors,Stand,Stress,Euros,Random_number,Bedtime,Good_day_1,Good_day_2
Beta,no,1,unknown,ja,male,neither,24.72429906542056,0.0,no,20.0,4515169791.764706,42.0,2.0,productivity,productivity
Business,no,0,mu,nee,male,fat,24.72429906542056,0.0,no,20.0,1.0,7.0,11.0,productivity,food
Beta,no,0,mu,ja,female,neither,22.0,0.0,no,10.0,1.0,6.0,1.0,weather,productivity
Beta,yes,0,mu,ja,male,neither,24.0,7.0,no,78.0,100.0,897858.0,4.0,sleep,other
Beta,yes,1,mu,nee,male,neither,24.0,0.0,no,45.0,20.0,5.0,0.0,weather,other
Business,no,0,mu,nee,male,neither,25.0,1.0,no,10.0,10.0,7.0,0.0,food,food
Beta,no,0,mu,nee,male,fat,24.0,3.0,no,0.0,2.0,10.0,4.0,weather,other
Business,yes,0,mu,ja,female,fat,24.72429906542056,1.0,no,60.0,1.0,8.0,10.0,friends,food
Business,yes,0,unknown,ja,male,fat,25.0,1.0,no,83.0,35.0,3.0,0.0,food,fun
Business,no,0,mu,ja,male,fat,24.0,0.0,no,70.0,100.0,7.0,1.0,food,socialize
Business,yes,0,mu,ja,female,slim,22.0,5.0,yes,50.0,70.0,8.0,0.0,sport,socialize
Business,yes,0,mu,nee,male,fat,26.0,0.0,no,70.0,4515169791.764706,3.0,2.0,drinks,food
Business,yes,0,mu,nee,male,slim,23.0,0.0,no,43.0,100.0,9.0,10.0,sleep,food
Beta,yes,1,mu,ja,female,fat,24.72429906542056,2.0,no,85.0,10.0,29.0,2.0,weather,socialize
Beta,unknown,0,sigma,unknown,female,I have no idea what you are talking about,23.0,0.0,yes,89.0,30.0,78.0,11.0,friends,socialize
Business,yes,0,mu,nee,female,fat,24.72429906542056,0.0,no,40.0,10.0,24.0,2.0,sleep,food
Business,no,0,mu,nee,male,fat,24.0,0.0,no,100.0,5.0,25.0,1.0,weather,food
Beta,yes,0,mu,ja,male,neither,26.0,4.0,yes,17.0,43.0,7.0,1.0,weather,sport
Beta,no,0,mu,ja,male,I have no idea what you are talking about,24.72429906542056,1.0,no,-100.0,1.0,8.0,0.0,food,food
Beta,yes,1,mu,ja,female,neither,22.0,1.0,no,40.0,2.0,3.0,0.0,sleep,food
Business,no,0,sigma,ja,male,slim,25.0,3.0,no,100.0,50.0,3.0,1.0,other,food
Beta,no,0,mu,ja,female,I have no idea what you are talking about,24.72429906542056,0.0,no,50.0,70.0,7.0,0.0,other,other
Beta,yes,0,mu,nee,male,neither,24.72429906542056,1.0,no,0.0,100.0,17101991.0,3.0,other,sport
Beta,yes,0,sigma,nee,male,I have no idea what you are talking about,25.0,2.0,no,12.0,100.0,27.0,10.0,other,other
Beta,no,1,mu,nee,male,neither,24.0,0.0,no,30.0,4515169791.764706,9.0,10.0,other,socialize
Beta,yes,0,mu,ja,male,neither,27.0,3.0,no,25.0,0.0,13.0,3.0,other,playing
Business,yes,0,mu,nee,male,fat,24.0,0.0,no,30.0,1.0,7.0,11.0,productivity,food
Business,no,0,sigma,nee,male,fat,24.72429906542056,4.0,no,0.0,100.0,6.0,11.0,other,sport
Beta,yes,0,mu,ja,male,unknown,24.72429906542056,0.0,no,20.0,4515169791.764706,37.0,1.0,other,other
Business,no,1,mu,ja,female,fat,23.0,0.0,no,80.0,85.0,8.0,0.0,weather,productivity
Beta,no,0,mu,ja,female,neither,26.0,1.0,no,50.0,0.0,8.0,0.0,weather,productivity
Beta,yes,0,sigma,ja,male,I have no idea what you are talking about,31.0,0.0,no,65.0,4515169791.764706,42.0,1.0,food,socialize
Business,yes,0,mu,nee,female,neither,23.0,1.0,no,30.0,5.0,5.0,11.0,friends,food
Beta,yes,0,mu,ja,male,neither,24.72429906542056,0.0,no,10.0,1.0,3.0,11.0,weather,sport
Other,yes,0,mu,ja,female,I have no idea what you are talking about,27.0,1.0,no,50.0,10.0,7.0,0.0,other,food
Business,yes,unknown,mu,ja,female,neither,24.72429906542056,0.0,no,20.0,0.0,37.0,11.0,friends,other
Business,yes,1,mu,ja,female,neither,22.0,0.0,no,25.0,30.0,3.0,10.0,sport,reading
Beta,no,1,mu,ja,female,unknown,23.0,0.0,no,90.0,60.0,3.0,0.0,other,other
Business,yes,0,mu,nee,male,fat,24.72429906542056,0.0,no,30.0,0.0,7.0,0.0,food,sport
Beta,no,0,mu,nee,female,neither,22.0,0.0,no,60.0,4515169791.764706,12345.0,10.0,weather,productivity
Beta,no,1,mu,ja,male,fat,26.0,0.0,no,10.0,20.0,5.621789562478514e+37,11.0,other,productivity
Beta,no,0,mu,nee,male,fat,27.0,1.0,no,60.0,4515169791.764706,7.0,1.0,weather,socialize
Beta,no,1,mu,ja,male,neither,25.0,0.0,no,5.0,10.0,8.0,1.0,weather,other
Beta,no,0,sigma,nee,male,neither,26.0,1.0,no,30.0,20.0,3.0,0.0,other,sport
Beta,no,unknown,mu,ja,female,fat,24.0,0.0,no,15.0,4.0,8.0,11.0,productivity,other
Other,yes,1,mu,ja,male,neither,24.0,2.0,no,41.48736462093863,4515169791.764706,2.1134547392206386e+35,0.0,sport,productivity
Other,no,0,mu,nee,male,neither,23.0,0.0,no,40.0,1.0,666.0,11.0,friends,sport
Beta,yes,0,mu,ja,male,fat,24.0,0.0,no,0.0,69.0,7.0,11.0,weather,other
Beta,yes,0,sigma,ja,male,neither,24.72429906542056,0.0,no,25.0,4515169791.764706,3.0,10.0,sleep,food
Beta,no,0,mu,ja,male,neither,24.0,0.0,no,10.0,50.0,141100267.0,4.0,other,other
Beta,no,0,mu,ja,male,neither,24.0,0.0,no,0.0,60.0,7.0,11.0,sport,other
Beta,no,0,mu,nee,female,neither,24.0,0.0,no,12.0,7.0,3.0,11.0,productivity,socialize
Business,yes,0,mu,ja,female,fat,29.0,1.0,no,70.0,25.0,8.0,11.0,weather,sport
Other,yes,0,mu,nee,female,neither,24.72429906542056,0.0,no,50.0,4515169791.764706,8.0,1.0,weather,socialize
Beta,yes,0,mu,nee,male,neither,24.72429906542056,0.0,no,75.0,4515169791.764706,72.0,0.0,other,other
Beta,yes,1,mu,nee,male,neither,24.0,0.0,no,30.0,40.0,2.0,0.0,other,productivity
Beta,no,1,mu,nee,male,fat,24.72429906542056,0.0,no,20.0,0.0,2.0,11.0,sleep,other
Beta,no,0,mu,ja,male,neither,22.0,1.0,no,30.0,2.0,2.0,11.0,drinks,sleep
Beta,yes,1,mu,nee,female,neither,26.0,1.0,no,30.0,5.0,7.0,11.0,weather,socialize
Business,yes,1,mu,ja,male,neither,24.72429906542056,1.0,no,20.0,25.0,7.0,1.0,other,sport
Beta,yes,0,mu,nee,male,neither,24.0,0.0,no,60.0,1.0,6.0,11.0,weather,music
Beta,yes,0,mu,ja,male,neither,23.0,0.0,no,5.0,10.0,2.0,11.0,friends,other
Beta,no,1,mu,ja,female,fat,25.0,0.0,no,60.0,30.0,7.0,1.0,productivity,food
Business,yes,0,mu,nee,male,neither,24.0,16.0,no,50.0,5.0,66.0,11.0,other,other
Beta,yes,1,sigma,ja,male,fat,22.0,0.0,no,5.0,35.0,3.0,2.0,weather,sport
Beta,yes,1,mu,ja,male,fat,25.0,1.0,no,50.0,5.0,5.0,1.0,other,other
Business,yes,1,mu,ja,female,fat,24.0,2.0,no,20.0,10.0,8.0,10.0,other,socialize
Beta,yes,0,sigma,nee,male,fat,25.0,0.0,no,55.0,4515169791.764706,5.0,0.0,sport,productivity
Beta,yes,1,mu,ja,female,neither,22.0,0.0,no,60.0,50.0,6.0,10.0,other,other
Beta,yes,unknown,mu,ja,female,neither,24.0,0.0,yes,20.0,10.0,3.0,11.0,sport,food
Beta,yes,1,mu,ja,female,I have no idea what you are talking about,24.72429906542056,1.0,no,68.0,4515169791.764706,8.0,0.0,weather,food
Beta,yes,1,mu,ja,female,I have no idea what you are talking about,23.0,1.0,no,75.0,4515169791.764706,5.0,0.0,other,other
Business,yes,1,mu,ja,male,neither,26.0,0.0,no,30.0,4515169791.764706,7.0,11.0,other,sport
Beta,yes,1,mu,ja,male,fat,22.0,1.0,no,60.0,4515169791.764706,42.0,0.0,food,other
Beta,yes,0,mu,nee,female,fat,24.72429906542056,0.0,no,30.0,30.0,38.0,0.0,other,drinks
Other,yes,0,mu,ja,female,fat,34.0,2.0,no,80.0,60.0,6.0,0.0,weather,food
Beta,no,0,mu,ja,female,neither,26.0,0.0,yes,60.0,4515169791.764706,6.0,10.0,fun,outside
Beta,yes,0,mu,nee,female,fat,23.0,0.0,no,85.0,80.0,2.0,11.0,weather,sport
